"age","count"
0,1
1,2
3,24
4,25
5,22
6,8
7,10
8,13
9,18
10,18
11,12
12,46
13,12
14,17
15,22
16,14
17,16
18,20
19,44
20,61
21,140
22,282
23,608
24,800
25,1136
26,1311
27,1628
28,2092
29,2384
30,2547
31,2947
32,3267
33,3227
34,3527
35,3755
36,3752
37,3767
38,4047
39,4260
40,4346
41,4237
42,4266
43,4270
44,4105
45,4271
46,4396
47,4700
48,4714
49,4639
50,4772
51,4390
52,4219
53,4234
54,4162
55,4243
56,4177
57,3945
58,3816
59,3859
60,3854
61,3729
62,3692
63,3594
64,3554
65,3423
66,3486
67,3392
68,3237
69,3080
70,3254
71,3013
72,3069
73,2903
74,2704
75,1941
76,1784
77,1675
78,1515
79,1317
80,1362
81,1150
82,1051
83,979
84,844
85,715
86,614
87,538
88,506
89,385
90,363
91,237
92,176
93,154
94,116
95,83
96,54
97,36
98,23
99,21
100,20
